Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,952.0mV,120.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
768,-568.000000,2720.000000
769,-568.000000,2720.000000
770,-568.000000,2720.000000
771,-568.000000,2720.000000
772,-568.000000,2720.000000
773,-576.000000,2720.000000
774,-568.000000,2720.000000
775,-568.000000,2720.000000
776,-568.000000,2720.000000
777,-568.000000,2720.000000
778,-552.000000,2720.000000
779,-568.000000,2760.000000
780,-568.000000,2720.000000
781,-576.000000,2720.000000
782,-568.000000,2720.000000
783,-568.000000,2720.000000
784,-568.000000,2720.000000
785,-568.000000,2720.000000
786,-568.000000,2720.000000
787,-568.000000,2720.000000
788,-568.000000,2720.000000
789,-568.000000,2720.000000
790,-568.000000,2720.000000
791,-568.000000,2720.000000
792,-568.000000,2720.000000
793,-568.000000,2720.000000
794,-568.000000,2720.000000
795,-568.000000,2720.000000
796,-568.000000,2720.000000
797,-568.000000,2720.000000
798,-568.000000,2720.000000
799,-568.000000,2720.000000
800,-560.000000,2720.000000
801,-568.000000,2720.000000
802,-568.000000,2720.000000
803,-560.000000,2720.000000
804,-568.000000,2720.000000
805,-560.000000,2720.000000
806,-568.000000,2720.000000
807,-560.000000,2720.000000
808,-560.000000,2720.000000
809,-560.000000,2720.000000
810,-568.000000,2720.000000
811,-560.000000,2720.000000
812,-568.000000,2720.000000
813,-568.000000,2720.000000
814,-568.000000,2720.000000
815,-568.000000,2720.000000
816,-560.000000,2720.000000
817,-568.000000,2720.000000
818,-568.000000,2720.000000
819,-568.000000,2760.000000
820,-568.000000,2720.000000
821,-568.000000,2720.000000
822,-568.000000,2720.000000
823,-568.000000,2720.000000
824,-568.000000,2720.000000
825,-568.000000,2720.000000
826,-568.000000,2720.000000
827,-560.000000,2720.000000
828,-568.000000,2720.000000
829,-560.000000,2720.000000
830,-568.000000,2720.000000
831,-568.000000,2760.000000
832,-568.000000,2720.000000
833,-568.000000,2720.000000
834,-568.000000,2720.000000
835,-560.000000,2680.000000
836,-560.000000,2720.000000
837,-568.000000,2720.000000
838,-568.000000,2720.000000
839,-568.000000,2720.000000
840,-568.000000,2720.000000
841,-568.000000,2720.000000
842,-568.000000,2720.000000
843,-560.000000,2720.000000
844,-568.000000,2720.000000
845,-568.000000,2720.000000
846,-560.000000,2720.000000
847,-568.000000,2720.000000
848,-568.000000,2720.000000
849,-560.000000,2720.000000
850,-568.000000,2720.000000
851,-568.000000,2720.000000
852,-568.000000,2720.000000
853,-568.000000,2720.000000
854,-568.000000,2720.000000
855,-568.000000,2720.000000
856,-568.000000,2720.000000
857,-568.000000,2720.000000
858,-560.000000,2720.000000
859,-568.000000,2720.000000
860,-576.000000,2720.000000
861,-568.000000,2720.000000
862,-568.000000,2760.000000
863,-568.000000,2720.000000
864,-568.000000,2720.000000
865,-568.000000,2720.000000
866,-568.000000,2720.000000
867,-568.000000,2720.000000
868,-568.000000,2720.000000
869,-560.000000,2720.000000
870,-568.000000,2720.000000
871,-568.000000,2720.000000
872,-568.000000,2720.000000
873,-568.000000,2720.000000
874,-568.000000,2720.000000
875,-568.000000,2720.000000
876,-560.000000,2720.000000
877,-568.000000,2720.000000
878,-568.000000,2720.000000
879,-568.000000,2720.000000
880,-568.000000,2720.000000
881,-560.000000,2720.000000
882,-568.000000,2720.000000
883,-560.000000,2720.000000
884,-560.000000,2720.000000
885,-560.000000,2720.000000
886,-568.000000,2720.000000
887,-568.000000,2720.000000
888,-568.000000,2720.000000
889,-560.000000,2680.000000
890,-568.000000,2720.000000
891,-568.000000,2720.000000
892,-560.000000,2720.000000
893,-568.000000,2720.000000
894,-568.000000,2720.000000
895,-568.000000,2760.000000
896,-568.000000,2720.000000
897,-568.000000,2720.000000
898,-560.000000,2720.000000
899,-560.000000,2720.000000
900,-568.000000,2720.000000
901,-568.000000,2720.000000
902,-568.000000,2720.000000
903,-576.000000,2720.000000
904,-560.000000,2720.000000
905,-568.000000,2720.000000
906,-560.000000,2720.000000
907,-560.000000,2720.000000
908,-568.000000,2720.000000
909,-568.000000,2720.000000
910,-560.000000,2760.000000
911,-568.000000,2720.000000
