noise_est=5.6076451926401205e-08, dc_offset=6.721077079419047e-05, n_samples=4095
noise_est=6.162785126662129e-08, dc_offset=6.312884943326935e-05, n_samples=4096
noise_est=7.059588824631646e-08, dc_offset=6.517879955936223e-05, n_samples=4095
noise_est=5.107695955075542e-08, dc_offset=6.305183342192322e-05, n_samples=4096
noise_est=5.671878966495569e-08, dc_offset=6.422059959731996e-05, n_samples=4095
noise_est=7.287080450169015e-08, dc_offset=6.421327270800248e-05, n_samples=4096
noise_est=7.528556267288877e-08, dc_offset=6.896826380398124e-05, n_samples=4095
noise_est=6.88555985561834e-08, dc_offset=6.223111995495856e-05, n_samples=4096
noise_est=8.211945612401905e-08, dc_offset=6.788686732761562e-05, n_samples=4095
noise_est=6.857666789983341e-08, dc_offset=6.405026215361431e-05, n_samples=4096
noise_est=7.315662031714965e-08, dc_offset=6.292258331086487e-05, n_samples=3072
noise_est=7.448289096601002e-08, dc_offset=6.71127563691698e-05, n_samples=5119
noise_est=7.321110473412773e-08, dc_offset=6.395782838808373e-05, n_samples=4095
noise_est=7.898860587829404e-08, dc_offset=6.475965346908197e-05, n_samples=4096
noise_est=7.920193922927865e-08, dc_offset=6.308817683020607e-05, n_samples=4095
noise_est=8.460828837542067e-08, dc_offset=6.896223203511909e-05, n_samples=4096
noise_est=7.269289881151053e-08, dc_offset=6.617684994125739e-05, n_samples=4095
noise_est=6.662195062290266e-08, dc_offset=6.531810504384339e-05, n_samples=4096
noise_est=6.925562701098897e-08, dc_offset=6.209773709997535e-05, n_samples=4095
noise_est=6.242862582439557e-08, dc_offset=6.59231809549965e-05, n_samples=4096
noise_est=5.6099402456766256e-08, dc_offset=6.42808954580687e-05, n_samples=4095
noise_est=7.059897200178966e-08, dc_offset=6.420270801754668e-05, n_samples=4096
noise_est=7.192445394821334e-08, dc_offset=6.662241503363475e-05, n_samples=4095
noise_est=8.140254692534654e-08, dc_offset=6.397739343810827e-05, n_samples=4096
noise_est=7.78572299964253e-08, dc_offset=6.6907967266161e-05, n_samples=4095
noise_est=6.828109633261192e-08, dc_offset=6.241568917175755e-05, n_samples=4096
noise_est=6.724373236011161e-08, dc_offset=6.737095100106671e-05, n_samples=4095
noise_est=6.868212665267492e-08, dc_offset=6.410368951037526e-05, n_samples=4096
noise_est=7.06929128568845e-08, dc_offset=6.541376205859706e-05, n_samples=4095
noise_est=7.265273893608537e-08, dc_offset=6.392877548933029e-05, n_samples=4096
noise_est=6.311292821692405e-08, dc_offset=6.508546357508749e-05, n_samples=4095
noise_est=7.330903173397019e-08, dc_offset=6.516325811389834e-05, n_samples=4096
noise_est=6.39467714336206e-08, dc_offset=6.38183846604079e-05, n_samples=4095
noise_est=7.606557517192414e-08, dc_offset=6.51716545689851e-05, n_samples=4096
noise_est=8.682800256565315e-08, dc_offset=6.721192039549351e-05, n_samples=4095
noise_est=7.284329939238887e-08, dc_offset=6.396407843567431e-05, n_samples=4096
noise_est=7.286295300446e-08, dc_offset=6.42551458440721e-05, n_samples=4095
noise_est=7.18642638730671e-08, dc_offset=6.48519053356722e-05, n_samples=4096
noise_est=8.157450537282784e-08, dc_offset=6.560370093211532e-05, n_samples=4095
noise_est=8.109088156516009e-08, dc_offset=6.544424832100049e-05, n_samples=4096
noise_est=8.497492842707288e-08, dc_offset=6.325355934677646e-05, n_samples=4095
noise_est=8.676127549733792e-08, dc_offset=6.537034641951323e-05, n_samples=4096
noise_est=6.609457869899416e-08, dc_offset=6.733948248438537e-05, n_samples=4095
noise_est=5.731433105893302e-08, dc_offset=6.293628393905237e-05, n_samples=4096
noise_est=6.37617247889466e-08, dc_offset=6.579279579455033e-05, n_samples=4095
noise_est=6.996761925393002e-08, dc_offset=6.371287599904463e-05, n_samples=4096
noise_est=5.7497569372344515e-08, dc_offset=6.576331361429766e-05, n_samples=4095
noise_est=4.6116994667499966e-08, dc_offset=6.50571528240107e-05, n_samples=4096
noise_est=5.266475611165333e-08, dc_offset=6.529652455355972e-05, n_samples=4095
noise_est=5.24969081538984e-08, dc_offset=6.478277646237984e-05, n_samples=4096
noise_est=6.361906912388804e-08, dc_offset=6.602272333111614e-05, n_samples=4095
noise_est=5.5439713264604507e-08, dc_offset=6.42656596028246e-05, n_samples=4096
noise_est=6.607216107568092e-08, dc_offset=6.467859202530235e-05, n_samples=4095
noise_est=6.071056901646443e-08, dc_offset=6.431589281419292e-05, n_samples=4096
noise_est=6.427105603279415e-08, dc_offset=6.565583316842094e-05, n_samples=4095
noise_est=5.9332393220756785e-08, dc_offset=6.616753671551123e-05, n_samples=4096
noise_est=6.155439535859841e-08, dc_offset=6.356786616379395e-05, n_samples=4095
noise_est=5.9114288575301543e-08, dc_offset=6.657050835201517e-05, n_samples=4096
noise_est=5.152190496460207e-08, dc_offset=6.336262595141307e-05, n_samples=3968
noise_est=7.842307070404786e-08, dc_offset=6.404215673683211e-05, n_samples=4223
noise_est=8.056014877411144e-08, dc_offset=6.472945096902549e-05, n_samples=3968
noise_est=7.34272447289186e-08, dc_offset=6.647636473644525e-05, n_samples=4096
